台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 1 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
0000000001,PLC程式規劃設計及修改,全, 1.00 ,,,,,,
0000000002,圖控程式撰寫設計及修改,全, 1.00 ,,,,,,
0000000002-1,新設圖控程式撰寫設計及修改,全, 1.00 ,,,,,,
0000000002-3,圖控程式軟體,全, 1.00 ,,,,,,
0000000002-4,工業級電腦,全, 1.00 ,,,,,,
0000000015,電信無線線路GPS設備,, 3.00 ,,,,,,
0000000018,盤內照明9W(附LS),組, 3.00 ,,,,,,
0000000019,多功能電表RS485,只, 3.00 ,,,,,,
0000000020,3Φ220V 50KA 電源用突波消除器(附接點),組, 3.00 ,,,,,,
0000000021,1Φ110V 電源用避雷器,組, 3.00 ,,,,,,
0000000023,比流器(CT)200/5A 40VA CL1.0,只, 9.00 ,,,,,,
0000000024,3E馬達保護電驛(附SET),只, 3.00 ,,,,,,
0000000025,電流切換開關,只, 3.00 ,,,,,,
0000000026,廣角型電流錶0~200A,只, 3.00 ,,,,,,
0000000027,DC 24V 電源供應器,只, 3.00 ,,,,,,
0000000028,NFB 3P 250AF 200AT IC≧50KA/220V,只, 3.00 ,,,,,,
0000000029,NFB 3P 100AF 60AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000030,NFB 2P 50AF 20AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000031,NFB 2P 50AF 15AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000032,NFB 2P 50AF 15AT IC≧5KA/110V,只, 21.00 ,,,,,,
0000000035-1,DF-2A,只, 9.00 ,,,,,,
0000000036,ELCB 3P 250AF 175AT IC≧50KA/220V 100/200/500mA0.1sec,只, 3.00 ,,,,,,
0000000037,ELCB 3P 50AF 15AT IC≧25KA/220V 30mA0.1sec,只, 3.00 ,,,,,,
0000000038,AVR  2KVA  1∮2W 220/110V,只, 3.00 ,,,,,,
0000000039,UPS  1KVA  1∮2W 110/110V,只, 3.00 ,,,,,,
0000000041,"6""排風扇1∮220V附I P44過濾網組",只, 12.00 ,,,,,,
0000000042,Y-Δ電磁開關3∮220V 60HP級(含啟動電驛),組, 3.00 ,,,,,,
0000000043,電磁開關 1∮220V 1HP級,組, 6.00 ,,,,,,
0000000044,電磁接觸器 3∮220V 60A,只, 3.00 ,,,,,,
0000000045,電容器 3∮280V 20KVA,只, 3.00 ,,,,,,
0000000048,61F-G液位控制器,只, 3.00 ,,,,,,
0000000049,PH2深水電極,組, 3.00 ,,,,,,
0000000050,選擇開關(手動/自動)30mm∮,只, 15.00 ,,,,,,
0000000051,LED照光式按鈕開關30mm∮,只, 27.00 ,,,,,,
0000000052,LED指示燈30mm∮,只, 9.00 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 2 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
0000000053,補助電驛(含座),式, 3.00 ,,,,,,
0000000054,24T時間電驛,只, 6.00 ,,,,,,
0000000055,接地型三連插座1ψ125V 15A,組, 3.00 ,,,,,,
0000000056,盤內配線及接線端子銅排,全, 3.00 ,,,,,,
0000000057,各式另件(含五金、接地銅排、銘牌),全, 3.00 ,,,,,,
0000000076,100mm2/1C XLPE CABLE,M, 1.00 ,,,,,,
0000000076-1,100mm2/1C PVC電線,M, 180.00 ,,,,,,
0000000077,38mm2/1C XLPE CABLE,M, 1.00 ,,,,,,
0000000078,38mm2/1C PVC 電線,M, 100.00 ,,,,,,
0000000078-1,22mm2/1C PVC 電線,M, 30.00 ,,,,,,
0000000078-2,14mm2/1C PVC 電線,M, 30.00 ,,,,,,
0000000079,5.5mm2/3C XLPE CABLE,M, 60.00 ,,,,,,
0000000080,3.5mm2/3C PVC CABLE,M, 60.00 ,,,,,,
0000000081,2mm2/3C PVC CABLE,M, 1.00 ,,,,,,
0000000086-1,深井基地整地費,處, 3.00 ,,,,,,
0000000917,交通錐，高70cm,個, 1.00 ,,,,,,
0000000918,連桿,支, 1.00 ,,,,,,
0000000918b,警示燈號(安裝於交通錐;含乾電池),座, 1.00 ,,,,,,
0000000919,運雜費,式, 1.00 ,,,,,,
0000000920,產品，施工警告燈號，折舊,座, 1.00 ,,,,,,
0000000921,移動性施工標誌，裝拆,座, 1.00 ,,,,,,
0000000922,移動性施工標誌，維護,座, 1.00 ,,,,,,
0000000923,臨時設施，工程用電，交通維持,式, 1.00 ,,,,,,
0000000924,產品，施工標誌，折舊,座, 1.00 ,,,,,,
0000000925,施工標誌，裝拆,式, 1.00 ,,,,,,
0000000926,施工標誌，維護,式, 1.00 ,,,,,,
0000000927,構造物開挖，(人工挖，含抽排水),式, 1.00 ,,,,,,
0000000928,餘方自行處理(含水土保持),式, 1.00 ,,,,,,
0000000929,安全圍籬(單面，2M*0.85M),M, 50.00 ,,,,,,
0000000930,活動型拒馬,座, 2.00 ,,,,,,
0000000931,安全帽(硬質),頂, 5.00 ,,,,,,
0000000932,高壓電線絕緣防護(護套),M, 1.00 ,,,,,,
0000000935,勞動檢查即時監督系統(RSMR)相片傳輸補助費,日, 30.00 ,,,,,,
0000000938,勞工安全衛生，保護器材，侷限空間作業設備,次, 1.00 ,,,,,,
0000000943,勞工安全衛生，保護器材，身體，反光背心,件, 5.00 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 3 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
0000000947,勞工安全衛生，保護器材，手部，電用橡膠手套,雙, 1.00 ,,,,,,
0000000949,產品，勞工安全衛生，一般器材，滅火器,具, 1.00 ,,,,,,
0000003857,DI另件材料費(k型)φ75-600m/m以下,kg, 300.00 ,,,,,,
0000020117,既設抽水機吊運雜費,台, 1.00 ,,,,,,
0000020118,零星工料,式, 1.00 ,,,,,,
0000020206,木料,才, 1.00 ,,,,,,
0000020207,漆反光漆,M2, 1.00 ,,,,,,
0000020208,洋釘及鐵件,式, 1.00 ,,,,,,
0006,盤體：1000W×2350H×1000Dmm 屋外型 SUS 304  2.5/2.0mmt,座, 3.00 ,,,,,,
0010525,無熔線斷路器(迴路保護器)，額定啟斷容量AC 1KA，1P，額定電流6-3A，額定電壓AC 220V,只, 15.00 ,,,,,,
0010558,低壓配電盤，盤內電熱器(含溫控開關),組, 3.00 ,,,,,,
0010561-1,低壓配電盤，運送及現場吊裝費,全, 1.00 ,,,,,,
0010561-2,低壓配電盤，水泥基座,座, 3.00 ,,,,,,
0010561-5,低壓配電盤，基礎台,座, 3.00 ,,,,,,
0010698,壓力計，傳訊器(檢知器),只, 1.00 ,,,,,,
0010699,壓力計，盤面指示器,只, 1.00 ,,,,,,
0010700,"壓力計，充油式壓力表3"" 0～10kgf/cm2",只, 1.00 ,,,,,,
0010701,電力監視及控制設備，訊號用突波消除器(1套2只，含備用),套, 1.00 ,,,,,,
0010702,電力監視及控制設備，串聯型突波消除抑制器(1套2組，含備用),套, 1.00 ,,,,,,
0010704,閥，螺紋口球形閥，不銹鋼，標稱壓力 7.5kgf/cm2，標稱口徑25mm,只, 2.00 ,,,,,,
0010705,"1""不銹鋼自動排氣閥",只, 1.00 ,,,,,,
0010706,"∮25mm(∮1"")×3.4mmt不銹鋼導壓管",M, 61.00 ,,,,,,
0010707,不銹鋼導壓管彎管，接頭及軟管等另件另料,式, 1.00 ,,,,,,
0010903,LED照明設備，LED屋外投光燈具，電源供應器外置型，90W,套, 3.00 ,,,,,,
0010904,路燈支架及工地安裝費,套, 1.00 ,,,,,,
0010909-1,"PVCP(E管)3/4""",M, 1.00 ,,,,,,
0010909-2,"PVCP(E管) 1""",M, 100.00 ,,,,,,
0010909-3,"PVCP(E管) 2""",M, 100.00 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 4 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
0010909-5,"PVCP(E管) 3""",M, 200.00 ,,,,,,
0010928-1,XLPE 60mm2 1C 600V,M, 60.00 ,,,,,,
0010928-2,XLPE 5.5mm2 3C 600V,M, 60.00 ,,,,,,
0010928-4,XLPE 14mm2 3C 600V,M, 1.00 ,,,,,,
0010928-5,XLPE 22mm2 3C 600V,M, 1.00 ,,,,,,
0010946,明管配置不銹鋼C型管架，管夾等固定,處, 3.00 ,,,,,,
0010949,人力，配線,全, 3.00 ,,,,,,
0010950,電機基本材料及施工方法，五金及另料,全, 1.00 ,,,,,,
0010952,運雜費,全, 1.00 ,,,,,,
0020026,試運轉及訓練，訓練(含講義及講師費等),全, 1.00 ,,,,,,
0020027,設備操作補助費(試車完成至驗收完成期間),全, 1.00 ,,,,,,
0031010,SUS304 MOF表前開關箱 t:2mm,盤, 3.00 ,,,,,,
0031014,不鏽鋼環(束)帶,條, 15.00 ,,,,,,
0031016,MOF電表箱安裝及水泥電桿設備安裝,支, 3.00 ,,,,,,
0031017,K.S 錶前開關600V 3P 300A,只, 3.00 ,,,,,,
0041,資料收集器CPU模組,只, 3.00 ,,,,,,
0042,資料收集器專用電源模組,只, 3.00 ,,,,,,
0043,資料收集器數位輸入模組,只, 3.00 ,,,,,,
0044,資料收集器數位輸出模組,只, 3.00 ,,,,,,
0045,資料收集器類比輸入模組,只, 3.00 ,,,,,,
0046,資料收集器底座(12插槽),只, 3.00 ,,,,,,
0047,資料收集器通信模組(MODBUS),只, 3.00 ,,,,,,
0058,開關箱，箱內控制線、電纜等線料,式, 3.00 ,,,,,,
0060,開關箱，設備廠內組裝及測試,式, 3.00 ,,,,,,
0061,開關箱，箱體組立及搬運安裝、測試,式, 3.00 ,,,,,,
0082-2,電信數據線路申請,處, 3.00 ,,,,,,
01221,φ60mm*厚2.6mm鍍鋅鋼管,M, 282.00 ,,,,,,
01222,φ101mm*厚3.2mm鍍鋅鋼管,M, 70.73 ,,,,,,
01223,鍍鋅鋼線網,M2, 138.00 ,,,,,,
01224,焊接加工、吊放及安裝,式, 1.82 ,,,,,,
01225,固定配件,全, 1.82 ,,,,,,
01231,焊接加工、吊放及安裝,式, 3.00 ,,,,,,
01232,固定配件及不鏽鋼鎖組,全, 3.00 ,,,,,,
0126037,台電用電申請及申報竣工,處, 3.00 ,,,,,,
0127410005,工具損耗,全, 1.00 ,,,,,,
0127870001L,技術工,工, 0.11 ,,,,,,
0127892001L,小工,工, 0.03 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 5 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
01303,雙瓣式逆止閥φ300m/m,只, 3.00 ,,,,,,
0157429402,職業安全衛生，保護器材，高處作業，安全網,M2        , 1.00 ,,,,,,
0157429A08,職業安全衛生，保護器材，高處作業，護圍垂直排梯,組, 1.00 ,,,,,,
0157429D04,職業安全衛生，保護器材，高處作業，移動式樓梯,式, 1.00 ,,,,,,
015742A11G,職業安全衛生，保護器材，意外傷害救護設備，急救箱，手提式,套, 1.00 ,,,,,,
015742B107,職業安全衛生，保護器材，電感防止，漏電無熔線斷路器,個, 1.00 ,,,,,,
015742B70F,職業安全衛生，保護器材，電感防止，電焊機自動防止電擊裝置,台, 1.00 ,,,,,,
0230010,急救設備及搶救措施(急救箱擔架等),全, 1.00 ,,,,,,
0230011,安全教育訓練費,全, 1.00 ,,,,,,
0230012,施工用屋外型防雨開關箱,全, 1.00 ,,,,,,
0230013,登高用安全帶,全, 1.00 ,,,,,,
1021119-06,不銹鋼基礎螺栓L型 L:38cm M20,支, 1.00 ,,,,,,
1070507-10,不銹鋼考克掛手型φ25,只, 1.00 ,,,,,,
200-0001,200m/m 水量計安裝試車,套, 3.00 ,,,,,,
200-0011,系統試車費,全, 1.00 ,,,,,,
200-0032,電表箱及配電設備組裝,全, 3.00 ,,,,,,
4800058006,200m/m 電磁式流水量計,台, 3.00 ,,,,,,
4800058020,沉水式電動抽水機安裝,台, 3.00 ,,,,,,
4800065200,避雷接地銅排30*5*300mm,組, 3.00 ,,,,,,
4800065201,訊號避雷接地銅排30*5*300mm,組, 3.00 ,,,,,,
4800065202,設備接地銅排30*5*600mm,組, 3.00 ,,,,,,
4800065203,設備接地-R≦25Ω(責任施工),式, 3.00 ,,,,,,
4800065204,避雷接地-R≦10Ω(責任施工),式, 3.00 ,,,,,,
4800065205,訊號接地-R≦10Ω(責任施工),式, 3.00 ,,,,,,
4800065206,導電水泥,式, 3.00 ,,,,,,
4800065207,接地火泥焊接(含工料),式, 3.00 ,,,,,,
4800065306,管件外露部份油漆,處, 3.00 ,,,,,,
4800065402,200m/m×7.5Kgf/c㎡雙拉桿式伸縮接頭(DI製),支, 3.00 ,,,,,,
480007088,不銹鋼管另料及安裝,處, 3.00 ,,,,,,
B3E68380DC2-2,50HP沉水式電動抽水機3φ220V,套, 4.00 ,,,,,,
L000005e00001,交通指揮人員（臨時人員）,時, 15.00 ,,,,,,
L000006100002,小工,工, 9.69 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 6 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
L000007100003,職業安全衛生管理員,月, 3.00 ,,,,,,
L000007100006,職業安全衛生管理員,日, 20.00 ,,,,,,
M0305045003,產品，預拌混凝土材料費，245kgf/cm2,M3        , 2.66 ,,,,,,
M0321000009,產品，鋼筋,KG, 199.18 ,,,,,,
W0127120004,工具損耗,式, 1.00 ,,,,,,
W01271B0004,零星另料,式, 1.00 ,,,,,,
z202,140kg/cm2混凝土,M3, 50.00 ,,,,,,
z203,鋼筋及加工排紮(含鋼筋),kg, 200.00 ,,,,,,
z620,工具損耗及其他,式, 1.00 ,,,,,,
<2>,其他安全衛生設施及作業費,式, 1.00 ,,,,,,
<C>,包商利潤及什費,式, 1.00 ,,,,,,
<D>,品管費,式, 1.00 ,,,,,,
<E>,承商管理及工程保險補助費,式, 1.00 ,,,,,,
<二>,物價指數調整費,全, 1.00 ,,,,,,
<貳>,營業稅,全, 1.00 ,,,,,,
,總價<總計>,, 1.00 ,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
