台灣自來水公司第六區管理處,,,,,,,,
詳細價目表[標單],,,,,,,,
,,,,,,,,
,,,,,第 1 頁 共 4 頁,,,
,,,,,,,,
工程名稱,高鐵台南站配水池機電改善,,,會計科目,,,,
施工地點,台南市歸仁區,,,工程編號,WR110601520,,,
項 次,項  目  及  說  明,單 位, 數 量 ,單 價, 複價 , 廠牌 ,型號,編碼(備註)
<壹>,施工費,,  ,,,,,
<一>,施工費：(發包部份),,  ,,,,,
<A>,設備費(含物料、財物),,  ,,,,,
<1>,機電設備,,  ,,,,,
1,新設MP2配電盤,,,,,,,
,箱體1800W*2550H*1000D 2.5/2.0 SUS304,只, 1 ," 223,000 "," 223,000 ", 順大電機 ,,
,MCB2P63AF3AT220V10KA,只, 1 , 380 , 380 , 施耐德 , ic60N ,
,MCB2P63AF16AT220V10KA,只, 1 , 380 , 380 , 施耐德 , ic60N ,
,產品，漏電斷路器，額定啟斷容量AC30KA，3P，額定電流75A，額定靈敏度電流100/200/500mA,只, 2 ,"11,500"," 23,000 ", 三菱 , NV125-SV ,
,產品，低壓馬達起動盤，起動器，3ψ380V ，電磁開關，容量35kW,組, 4 ,"8,600"," 34,400 ", 士林 , MSO-P60TS ,
,產品，低壓馬達起動盤，起動器，1ψ220V ，電磁開關(全壓起動)，容量0.75kW,組, 1 ,"1,000"," 1,000 ", 士林 , MSO-P12S ,
,變頻器3相380V.50HP,組, 2 ,, 不含估價 , DANFUSS ,,
,產品，低壓變壓器，模鑄式，(三相380V-220V)，10KVA,組,1,"28,000.00"," 28,000.00 ", 信佳 ,,
,產品，電容器，乾式，3∮ 440V，容量15KVAR,組,2,"4,600.00"," 9,200.00 ", APP , AP440/15 ,
,產品，低壓穩壓器，輸入1Φ2W220V，輸出1Φ2W110V，2kVA,只,1,, 不含估價 ,,,
,產品，低壓配電盤，控制開關，切換開關，現場遙控,只, 5 ,320," 1,600 ", 富士 , AR30PR ,
,產品，低壓配電盤，控制開關，切換開關，手動自動,只, 5 ,320," 1,600 ", 富士 , AR30PR ,
,產品，低壓配電盤，控制開關，照光式按鈕開關，ON-OFF,只, 6 ,500," 3,000 ", 富士 , AR30EOL ,
,產品，低壓配電盤，控制開關，指示燈， LED燈泡,只, 3 ,300, 900 , 富士 , DR30DOL ,
,產品，低壓配電盤，控制開關，溫度開關，0～60℃可調式,只, 1 ,400, 400 ,,,
,產品，離心式風機，1∮220V，風量≧8CMM,組, 4 ,"2,600"," 10,400 ",,,
,低壓配電盤，銅匯流排及固定架，附有絕緣,式, 1 ,"6,000"," 6,000 ",,,
,產品，接地匯流排，鍍錫銅板,式, 1 ,"5,500"," 5,500 ",,,
,低壓配電盤，補助電驛,式, 1 ,"2,600"," 2,600 ",,,
,產品，低壓配電盤，盤內照明及微動開關，日光燈9W LED,組, 2 ,"1,000"," 2,000 ",,,
,低壓配電盤，組立及器材安裝費,式, 1 ,"34,000"," 34,000 ",,,
,低壓配電盤，五金及另料,式, 1 ,"7,640"," 7,640 ",,,
,電機系統工程現場測試，紀錄方法測試,式, 1 ,"3,500"," 3,500 ",,,
,壓力開關箱,只, 1 ," 12,000 "," 12,000 ",,,
,,,,, - ,,,
2,水壓計0-10kg/cm2(含附屬設備),套, 1 ,, - ,,,詳圖說規範
3,變頻器3相380V.50HP,套, 2 ,, - ,,,詳規範
4,電動操作機,套, 1 ,, - ,,,詳規範
5,新設MP2配電盤基礎座,座, 1 ,, - ,,,詳圖說
6,金屬導線槽不鏽鋼通風式厚1.5mm寬300mm高100mm(直式),米, 3 ,, - ,,,詳圖說
7,金屬導線槽不鏽鋼通風式厚1.5mm寬300mm高100mm(三通),組, 1 ,, - ,,,詳圖說及規範
8,pvc被覆金屬軟管22mm28mm42mm,全, 1 ,, - ,,,詳圖說
9,導線管.電線用鋼管.厚管.稱呼G42,米, 40 ,, - ,,,詳圖說
10,導線管.電線用鋼管.厚管.稱呼G28,米, 80 ,, - ,,,詳圖說
11,導線管.電線用鋼管.厚管.稱呼G22,米, 80 ,, - ,,,詳圖說
12,不鏽鋼管及管件.直管.厚度Sch-40.SUS304標稱管徑25mm.20mm,全, 1 ,, - ,,,詳圖說
13,600V交連聚乙烯(XLPE)1/C-5.5mm2,米, 40 ,, - ,,,詳圖說
14,600V交連聚乙烯(XLPE)1/C-8mm2,米, 100 ,, - ,,,詳圖說
15,600V交連聚乙烯(XLPE)1/C-22mm2,米, 100 ,, - ,,,詳圖說
16,600V交連聚乙烯(XLPE)1/C-38mm2,米, 40 ,, - ,,,詳圖說
17,600V交連聚乙烯(XLPE)4/C-5.5mm2,米, 40 ,, - ,,,詳圖說
18,600V交連聚乙烯(XLPE)2/C-2.0mm2,米, 10 ,, - ,,,詳圖說
19,600V聚乙烯(pvc)16/C-2.0mm2,米, 40 ,, - ,,,詳圖說
20,遮蔽電纜2/C-2.0mm2,米, 90 ,, - ,,,詳圖說
21,600VPVC電線絞線60mm2,米, 40 ,, - ,,,詳圖說
,機電工程計,,  ,,,,,
<B>,施工費(項目),,  ,,,,,
<1>,機電設備安裝費,,  ,,,,,
1,合計,, 1 ,, - ,,,
2,既設MP1配電盤設備修改費,全, 1 ,, 不含估價 ,,,詳圖說
3,既設配電盤基座修改費,全, 1 ,, 不含估價 ,,,詳圖說
4,既設PLC配電盤設備修改費,全, 1 ,, 不含估價 ,,,詳規範圖說
5,水壓計安裝費,全, 1 ,, 不含估價 ,,,詳圖說
6,既設圖形監控套裝軟體修改編輯費,全, 1 ,, 不含估價 ,,,詳圖說
7,既設可程式控制器圖控軟體程式修改編輯費,全, 1 ,, 不含估價 ,,,詳圖說
8,既設電動操作機拆除改裝延伸桿至地面工料費,全, 1 ,, 不含估價 ,,,詳規範圖說
9,打鑿配管配線試車調整工資,全, 1 ,, 不含估價 ,,,"單價分析表1
詳單價分析"
,運費卡車可達地面不含現場搬運定位,式, 1 ,, 不含估價 ,,,
,圖面設計及管理費,式, 1 ," 22,500 "," 22,500 ",,,
,,,  , 小計 ," 433,000 ",,,未稅
,順大電機賴明春111/7/1,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,,,,,,
　　,,,,,,,,
